"UID","Xsugg","Ysugg","Type"
"8095-1675-V-1",708096.10,3971671.20,"vacuum"
"8115-1655-S-2",708112.70,3971656.70,"square"
"7785-2155-S-1",707781.20,3972156.00,"square"
"7785-2155-S-4",707784.10,3972158.00,"square"
"7785-2165-V-1",707786.80,3972167.30,"vacuum"
"9045-0725-S-3",709041.80,3970727.90,"square"
"9065-0705-S-1",709062.60,3970705.20,"square"
"9065-0725-V-8",709070.00,3970725.20,"vacuum"
"7835-1885-V-4",707837.90,3971886.30,"vacuum"
"7795-2145-S-1",707794.00,3972144.50,"square"
"7805-2175-S-1",707808.80,3972172.60,"square"
"12207-14-1-5-3",709343.80,3969353.50,"tract"
"8775-9945-V-1",708777.40,3969947.80,"vacuum"
"6815-2235-V-22",706814.70,3972236.70,"vacuum"
"8395-2095-S-2",708390.00,3972092.80,"square"
"8405-2085-V-1",708402.50,3972086.00,"vacuum"
"7835-1875-S-8",707834.30,3971876.00,"square"
"7765-2145-V-8",707764.60,3972149.30,"vacuum"
"7765-2145-V-9",707767.70,3972141.20,"vacuum"
"7765-2155-S-3",707762.10,3972152.70,"square"
"7765-2155-V-1",707766.30,3972159.50,"vacuum"
"7775-2145-S-4",707770.80,3972142.50,"square"
"7775-2145-S-5",707771.70,3972147.80,"square"
"7775-2145-V-6",707775.90,3972148.00,"vacuum"
"7775-2145-V-8",707778.80,3972142.60,"vacuum"
"7775-2155-S-6",707771.70,3972150.60,"square"
"7785-2135-V-62",707787.60,3972135.10,"vacuum"
"7785-2135-V-64",707789.90,3972137.20,"vacuum"
"7785-2135-V-65",707782.60,3972137.10,"vacuum"
"7785-2155-V-20",707780.20,3972155.30,"vacuum"
"7795-2135-V-10",707793.10,3972138.40,"vacuum"
"7795-2135-V-2",707795.10,3972136.20,"vacuum"
"7795-2145-S-3",707798.00,3972142.10,"square"
"7805-2145-S-1",707800.00,3972149.00,"square"
"8365-0205-V-3",708362.30,3970204.00,"vacuum"
"8525-0585-S-4",708528.90,3970588.70,"square"
"8045-1405-V-2",708042.10,3971408.40,"vacuum"
"8055-2035-V-3",708050.10,3972030.30,"vacuum"
"8065-2045-S-1",708069.20,3972048.60,"square"
"4217-29-1-35-2",706732.50,3971964.00,"tract"
"6735-1955-V-3",706735.40,3971952.80,"vacuum"
"6735-1955-V-7",706738.70,3971953.80,"vacuum"
"6735-1955-V-8",706737.40,3971954.20,"vacuum"
"7785-2155-S-2",707783.90,3972151.70,"square"
"7805-2175-S-2",707804.90,3972177.10,"square"
"7785-2155-V-10",707780.20,3972159.20,"vacuum"
"9405-0835-S-2",709405.00,3969750.60,"square"
"8065-2195-V-2",708064.60,3972195.10,"vacuum"
"7305-3405-S-2",707300.80,3973400.70,"square"
"10028-2-1-35-1",706689.80,3971406.00,"tract"
"3481-19-1-25-1",708044.50,3972171.60,"tract"
"3481-19-1-95-1",708008.60,3972234.30,"tract"
"3641-9-1-15-1",708090.00,3971076.30,"tract"
"4214-14-1-5-2",706687.30,3971962.80,"tract"
"4221-18-1-95-1",706765.50,3972208.70,"tract"
"4223-18-1-15-1",706764.60,3972271.40,"tract"
"6048-20-1-65-1",708095.30,3971650.20,"tract"
"8140-27-1-65-1",706524.70,3973338.60,"tract"
"8184-14-1-25-2",709370.60,3970884.10,"tract"
"6725-1945-V-16",706721.40,3971945.60,"vacuum"
"6725-1945-V-2",706724.60,3971945.10,"vacuum"
"6725-1945-V-27",706728.70,3971944.60,"vacuum"
"6725-1945-V-29",706727.80,3971942.20,"vacuum"
"6725-1945-V-8",706722.10,3971941.90,"vacuum"
"6735-1935-V-3",706730.60,3971938.40,"vacuum"
"6755-2235-S-10",706754.50,3972231.40,"square"
"6755-2235-S-11",706752.50,3972230.50,"square"
"6755-2245-S-4",706751.80,3972243.50,"square"
"6775-2235-V-4",706774.80,3972234.40,"vacuum"
"9625-0395-V-2",709628.20,3970392.00,"vacuum"
"9645-0335-V-6",709645.70,3970332.60,"vacuum"
"9645-0375-S-2",709640.70,3970374.00,"square"
"9245-0575-V-2",709243.40,3970573.30,"vacuum"
"9245-0575-V-5",709246.80,3970575.50,"vacuum"
"9245-0585-S-1",709247.20,3970583.40,"square"
"6585-2805-S-2",706586.90,3972802.00,"square"
"8015-2215-V-1",708019.00,3972211.40,"vacuum"
"8025-2165-S-1",708022.40,3972161.00,"square"
"8025-2165-S-2",708029.20,3972169.30,"square"
"8035-2185-S-10",708032.10,3972181.70,"square"
"8035-2195-S-2",708032.10,3972191.60,"square"
"8035-2225-S-4",708033.50,3972220.30,"square"
"8035-2225-S-5",708031.50,3972223.10,"square"
"8055-2205-S-3",708058.10,3972207.90,"square"
"8055-2215-S-1",708053.40,3972218.60,"square"
"8055-2215-S-2",708055.80,3972217.80,"square"
"8055-2225-S-2",708051.40,3972227.20,"square"
"8065-2155-V-1",708068.10,3972152.10,"vacuum"
"8405-2075-V-1",708409.10,3972079.00,"vacuum"
"8405-2085-V-11",708409.60,3972080.50,"vacuum"
"8425-2065-S-4",708428.20,3972068.90,"square"
"8425-2065-S-5",708420.40,3972065.40,"square"
"7955-2155-S-1",707951.40,3972153.60,"square"
"6525-3235-S-2",706528.90,3973237.10,"square"
"6745-1475-S-8",706742.40,3971472.60,"square"
"6745-1475-V-6",706744.30,3971471.30,"vacuum"
"6755-1465-V-1",706753.20,3971460.60,"vacuum"
"6755-1475-V-27",706751.70,3971478.50,"vacuum"
"7725-1975-V-1",707726.60,3971979.70,"vacuum"
"7735-1955-V-2",707739.90,3971956.30,"vacuum"
"7785-1905-S-1",707780.20,3971900.10,"square"
"8115-1695-S-4",708114.70,3971690.80,"square"
"9065-0725-V-2",709069.10,3970726.60,"vacuum"
"6755-2245-S-5",706758.50,3972247.40,"square"
"8375-0245-S-1",708373.10,3970241.10,"square"
"10029-42-1-25-1",706625.20,3971465.30,"tract"
"6815-2255-S-6",706812.90,3972252.90,"square"
"9635-0345-S-2",709632.90,3970345.30,"square"
"8015-2195-V-2",708016.30,3972197.30,"vacuum"
"8025-2215-S-3",708026.70,3972212.40,"square"
"8105-2405-V-1",708100.20,3972406.70,"vacuum"
"8405-2075-S-1",708403.10,3972076.80,"square"
"7775-2155-V-13",707777.10,3972157.90,"vacuum"
"8037-32-1-35-2",709051.20,3970795.90,"tract"
"10001-48-1-45-2",706693.80,3971474.80,"tract"
"10028-2-1-65-1",706723.30,3971407.40,"tract"
"12042-57-1-25-5",709633.20,3970358.90,"tract"
"3427-12-1-65-1",707903.60,3972313.60,"tract"
"3481-19-1-15-2",708051.30,3972160.20,"tract"
"3483-19-1-55-2",707960.20,3972349.30,"tract"
"8785-9935-V-1",708782.80,3969935.00,"vacuum"
"8795-9945-V-20",708794.90,3969949.50,"vacuum"
"8805-9945-V-5",708802.70,3969944.90,"vacuum"
"8815-9915-S-1",708814.70,3969913.10,"square"
"8815-9925-V-4",708812.20,3969925.00,"vacuum"
"8825-9925-S-8",708820.30,3969927.30,"square"
"6785-2245-V-1",706789.80,3972244.80,"vacuum"
"6795-2235-V-3",706793.70,3972238.40,"vacuum"
"6795-2235-V-4",706792.70,3972230.90,"vacuum"
"6795-2255-V-9",706793.10,3972256.60,"vacuum"
"6825-2225-S-5",706824.50,3972224.00,"square"
"6975-2135-S-1",706970.30,3972131.50,"square"
"6975-2145-S-1",706972.00,3972146.30,"square"
"9625-0385-V-15",709620.60,3970380.70,"vacuum"
"9655-0355-S-1",709651.40,3970355.30,"square"
"7965-2145-S-1",707960.60,3972146.90,"square"
"7765-2135-V-3",707767.60,3972136.40,"vacuum"
"7765-2145-V-10",707767.80,3972146.50,"vacuum"
"7765-2145-V-11",707764.40,3972141.10,"vacuum"
"7765-2155-S-4",707760.70,3972155.20,"square"
"7765-2155-V-7",707764.60,3972152.10,"vacuum"
"7765-2165-V-1",707763.90,3972162.70,"vacuum"
"7775-2135-V-2",707776.30,3972136.10,"vacuum"
"7775-2135-V-3",707772.60,3972137.50,"vacuum"
"7775-2145-S-3",707777.90,3972148.70,"square"
"7775-2155-V-11",707770.70,3972159.40,"vacuum"
"7785-2135-S-1",707787.00,3972134.80,"square"
"7785-2135-S-4",707786.70,3972134.60,"square"
"7785-2135-V-66",707781.00,3972131.80,"vacuum"
"7785-2135-V-68",707788.50,3972131.10,"vacuum"
"7785-2135-V-71",707786.70,3972136.90,"vacuum"
"7785-2135-V-72",707788.40,3972136.40,"vacuum"
"7785-2135-V-73",707781.20,3972130.90,"vacuum"
"7785-2135-V-74",707780.70,3972133.80,"vacuum"
"7785-2135-V-75",707783.10,3972135.70,"vacuum"
"7785-2135-V-76",707782.60,3972135.00,"vacuum"
"7785-2135-V-77",707785.10,3972133.30,"vacuum"
"7785-2135-V-78",707784.00,3972132.20,"vacuum"
"7785-2145-V-29",707781.90,3972140.40,"vacuum"
"7785-2145-V-19",707787.80,3972145.80,"vacuum"
"7785-2145-V-30",707783.80,3972143.70,"vacuum"
"7785-2145-V-31",707783.80,3972148.10,"vacuum"
"7785-2145-V-32",707789.40,3972143.90,"vacuum"
"7785-2145-V-33",707781.40,3972142.70,"vacuum"
"7785-2145-V-35",707780.60,3972142.10,"vacuum"
"7785-2145-V-36",707784.20,3972140.90,"vacuum"
"7785-2145-V-37",707781.50,3972145.80,"vacuum"
"7785-2145-V-38",707786.20,3972146.20,"vacuum"
"7785-2145-V-39",707782.60,3972143.10,"vacuum"
"7785-2145-V-40",707788.30,3972142.20,"vacuum"
"7785-2155-V-11",707787.40,3972153.70,"vacuum"
"7785-2155-V-8",707780.90,3972156.70,"vacuum"
"7785-2155-V-9",707781.70,3972158.20,"vacuum"
"7795-2145-S-8",707799.80,3972142.70,"square"
"8045-2205-S-7",708045.80,3972207.60,"square"
"6755-1475-S-10",706755.80,3971474.90,"square"
"9315-1535-V-1",709310.70,3971531.20,"vacuum"
"9245-0565-V-3",709246.90,3970564.80,"vacuum"
